Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Enterprise Value,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5),"WACC Inflation Adjusted Risk Free Rate, (%)",Net Income after Tax,Price Target - Mean,Price Close
AMD.OQ,2022-01-01,0.92,0.75807,21.361,2.66993813236245,176480191893.7,4826000000.0,173185191893.7,32,2.31707,2.275,1.515266,974000000.0,148.08639,143.9
AMD.OQ,2021-10-01,0.73,0.6696,9.02,3.34826762246117,128331726835.6,4313000000.0,125036726835.6,32,2.275,2.2439,1.527139,921000000.0,122.83939,102.9
REG.OQ,2022-10-01,0.51,0.45833,11.274,0.813824100538913,9214597569.3,303989000.0,12875626569.3,10,2.4,2.4,3.747421,88847000.0,67.20588,53.85
REG.OQ,2022-07-01,0.61,0.44833,36.061,2.37994334530368,10222809970.23,302083000.0,13923229970.23,11,2.4,2.4,3.092855,105987000.0,68.3125,59.31
REG.OQ,2022-04-01,1.13,0.43125,162.029,10.5901449275362,12225717931.02,303433000.0,15839818931.02,12,2.4,2.4,2.325202,196816000.0,77.71875,71.34
REG.OQ,2022-01-01,0.39,0.46111,-15.422,11.9407516644618,12900899776.05,296924000.0,16599307776.05,12,2.4,2.31579,1.515266,68983000.0,81.29412,75.35
REG.OQ,2021-10-01,0.69,0.51625,33.656,21.8072639225182,11437598038.91,307375000.0,14900217038.91,10,2.31579,2.27778,1.527139,118848000.0,73.23529,67.33
DHI.N,2022-10-01,4.67,5.09188,-8.285,7.41749609181678,23165236099.05,9639400000.0,27080936099.05,18,2.04762,2.04348,3.747421,1648200000.0,89.22222,67.35
DHI.N,2022-07-01,4.67,4.48795,4.056,2.79615414610234,22992886079.03,8788100000.0,27685386079.03,20,2.04348,2.04546,3.092855,1659300000.0,96.21053,66.19
DHI.N,2022-04-01,4.03,3.36972,19.595,3.02903505335755,26403226874.15,7999000000.0,30652226874.15,18,2.04546,1.95455,2.325202,1442300000.0,109.0,74.51
DHI.N,2022-01-01,3.17,2.78995,13.622,2.98392444309038,38665625034.15,7053400000.0,41814525034.15,19,1.95455,1.81818,1.515266,1145800000.0,118.73684,108.45
DHI.N,2021-10-01,3.7,3.39582,8.958,2.52575224835239,30077586790.92,8109300000.0,32609286790.92,17,1.81818,2.0,1.527139,1345500000.0,114.05556,83.97
TRV.N,2022-10-01,2.2,1.5631,40.746,35.4826946452562,35894760000.0,9198000000.0,42412760000.0,21,2.82609,2.91304,3.747421,454000000.0,177.23529,153.2
TRV.N,2022-07-01,2.57,1.96981,30.469,15.9898670430143,40134549000.0,9020000000.0,46715549000.0,21,2.91304,2.81818,3.092855,551000000.0,177.5,169.13
TRV.N,2022-04-01,4.22,3.60505,17.058,10.5646246237916,43846771761.48,8367000000.0,50385771761.48,20,2.81818,2.77273,2.325202,1018000000.0,184.4,182.73
TRV.N,2022-01-01,5.2,3.86125,34.671,8.27089673033344,38483138907.41,7995000000.0,45012138907.41,20,2.77273,2.63158,1.515266,1333000000.0,171.53333,156.43
TRV.N,2021-10-01,2.6,1.66873,55.807,26.8353778022808,37394460000.0,8324000000.0,43866460000.0,18,2.63158,2.6,1.527139,662000000.0,163.64286,152.01
BIO.N,2022-10-01,2.6,2.782,-6.542,6.3353702372394,12395695989.82,680800000.0,11743292989.82,4,1.6,1.5,3.747421,-164232000.0,660.0,417.14
