Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise AbsVals,Revenue - Actual,Market Capitalization,Earnings Per Share – Coefficient of Variation,loss firm status
BSX.N,2017-01-01,Health Care Equipment & Services,1.7585473350219414,-0.3226293419654895,-0.1802866476534741,-0.2381688884757891,-1
BSX.N,2017-04-01,Health Care Equipment & Services,1.4662601427577724,-0.3252374159667141,-0.1428000599059687,-0.2365549449323303,-1
BSX.N,2017-07-01,Health Care Equipment & Services,1.3010087668375303,-0.3170766682854629,-0.1108610613444606,-0.2461378315775607,-1
BSX.N,2017-10-01,Health Care Equipment & Services,0.5164100020598914,-0.3200212679642649,-0.0940070343978849,-0.2175297922383768,-1
BSX.N,2018-01-01,Health Care Equipment & Services,0.3350426438116186,-0.3043728239569171,-0.1428392540589874,-0.2213248101709414,-1
BSX.N,2018-04-01,Health Care Equipment & Services,1.7309473298312976,-0.3068126351193531,-0.1130809785123285,-0.2416934119169481,-1
BSX.N,2018-07-01,Health Care Equipment & Services,3.0235906016823875,-0.2974740475665811,-0.0524266626184387,-0.2668201769146355,-1
BSX.N,2018-10-01,Health Care Equipment & Services,1.4063420564236686,-0.3056347952478323,0.0138654882148048,-0.2637947146012264,-1
BSX.N,2019-01-01,Health Care Equipment & Services,1.7674667766590104,-0.2915007167895828,-0.0215468344011536,-0.2561881829952481,-1
BSX.N,2019-04-01,Health Care Equipment & Services,0.9745596399981308,-0.297221653308398,0.0148838483240452,-0.2395596568568675,-1
BSX.N,2019-07-01,Health Care Equipment & Services,1.2409795299550317,-0.2856115174319787,0.0671391526496173,-0.259743737193526,-1
BSX.N,2019-10-01,Health Care Equipment & Services,1.1603343472961063,-0.2792175295580087,0.0419196377872073,-0.243703286067491,-1
BSX.N,2020-01-01,Health Care Equipment & Services,1.7550954848564635,-0.2625595085179288,0.0937322220417846,-0.2502985305574201,1
BSX.N,2020-04-01,Health Care Equipment & Services,2.472159076965497,-0.2930150823386809,-0.0480515376136245,0.0521031070477138,-1
BSX.N,2020-10-01,Health Care Equipment & Services,3.927364717227345,-0.2832558376889372,0.025482815188063,0.3667264217035924,1
BSX.N,2021-01-01,Health Care Equipment & Services,3.316546852041647,-0.2791333981386144,-0.0005393302766512,0.1554293037794107,-1
BSX.N,2021-04-01,Health Care Equipment & Services,3.095441852702968,-0.2754316156852633,0.0274161753127887,-0.182012792401689,-1
BSX.N,2021-07-01,Health Care Equipment & Services,2.108878977333453,-0.2480889043821019,0.0752016730390593,-0.2544025261911902,-1
BSX.N,2021-10-01,Health Care Equipment & Services,1.5071836783953438,-0.2602879601942816,0.0835491414822896,-0.2008436591439527,-1
BSX.N,2022-01-01,Health Care Equipment & Services,1.251619457793289,-0.2438823334123848,0.0733697372344752,-0.2340054406283485,-1
BSX.N,2022-04-01,Health Care Equipment & Services,0.7636056442085067,-0.2523796067712134,0.0960297267371942,-0.2481560804526166,-1
BSX.N,2022-07-01,Health Care Equipment & Services,1.5428706681619873,-0.2340389573432467,0.0141716545807283,-0.2419223964971803,-1
BSX.N,2022-10-01,Health Care Equipment & Services,1.2593128993591003,-0.2402646823784281,0.0318513865085746,-0.2525623671124665,-1
LOW.N,2013-01-01,Retailing,2.584978203512216,0.4223543767714144,-0.0667272282272163,-0.0094730843811763,-1
LOW.N,2013-04-01,Retailing,1.4329393689429344,0.5941507351746621,-0.0689582478371382,-0.1940891277503718,-1
LOW.N,2013-07-01,Retailing,2.5213992861470262,0.8148274482460228,-0.0268964912200677,-0.2158105848221021,-1
LOW.N,2013-10-01,Retailing,1.2316852428924718,0.5831295192340032,0.000778086574374,-0.1624598569902914,-1
LOW.N,2014-01-01,Retailing,0.5452270504833231,0.4740110682795408,-0.025563037782461,-0.1578993585952779,-1
LOW.N,2014-04-01,Retailing,1.393269974856316,0.62065213228388,-0.0326441632775597,-0.1861277211335813,-1
LOW.N,2014-07-01,Retailing,0.9681238805141724,0.8895361486681991,-0.0357623294902672,-0.2270511083253316,-1
LOW.N,2014-10-01,Retailing,0.8808707866428948,0.6440406668755073,0.0340253593707932,-0.2207168259262057,-1
LOW.N,2015-01-01,Retailing,1.926290362185661,0.5480467173465624,0.110225255449542,-0.181008676665034,-1
LOW.N,2015-04-01,Retailing,1.849713862488611,0.6817315427641728,0.12575854974809,-0.2038823910147793,-1
LOW.N,2015-07-01,Retailing,1.35247901262516,0.9525505817945618,0.10729926284933,-0.2672346871812651,-1
LOW.N,2015-10-01,Retailing,1.3749806012196173,0.701165900644266,0.1368335132756551,-0.2254540298760263,-1
LOW.N,2016-01-01,Retailing,0.4529846240761407,0.6066021852450248,0.1145245668775827,-0.2011122832634808,-1
LOW.N,2016-04-01,Retailing,1.2878542883066382,0.7746967611949214,0.1361264673125062,-0.2516137553785224,-1
LOW.N,2016-07-01,Retailing,1.436512077280508,1.0292784362822025,0.1743652499817032,-0.2638425209842546,-1
LOW.N,2016-10-01,Retailing,2.233235014859253,0.8171831279890645,0.0578204695764561,-0.2329767601663921,-1
LOW.N,2017-01-01,Retailing,2.341805806147327,0.8209690418618099,0.0996278628762913,-0.2117325048797733,-1
LOW.N,2017-04-01,Retailing,1.3632815868108177,0.9114944491301226,0.1810732607719225,-0.1915719481161961,-1
LOW.N,2017-07-01,Retailing,1.2996465543942184,1.1331807392342157,0.1193040380426993,-0.2494408367603469,-1
