Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals
PSX.N,2014-07-01,Energy,-11.280846063454756,11.280846063454756
PSX.N,2014-10-01,Energy,15.362649914334677,15.362649914334677
PSX.N,2015-01-01,Energy,18.97289169817379,18.97289169817379
PSX.N,2015-04-01,Energy,5.737854151786332,5.737854151786332
PSX.N,2015-07-01,Energy,0.941012940306909,0.941012940306909
PSX.N,2015-10-01,Energy,34.777505545067896,34.777505545067896
PSX.N,2016-01-01,Energy,4.69948849104859,4.69948849104859
PSX.N,2016-04-01,Energy,-23.143102953828503,23.143102953828503
PSX.N,2016-07-01,Energy,0.6230062728810225,0.6230062728810225
PSX.N,2016-10-01,Energy,19.003094080446104,19.003094080446104
PSX.N,2017-01-01,Energy,-59.522363893948594,59.522363893948594
PSX.N,2017-07-01,Energy,7.980662545569841,7.980662545569841
PSX.N,2017-10-01,Energy,5.814709519499219,5.814709519499219
PSX.N,2018-01-01,Energy,24.556195797683497,24.556195797683497
PSX.N,2018-04-01,Energy,16.730644038880293,16.730644038880293
PSX.N,2018-07-01,Energy,27.79552715654952,27.79552715654952
PSX.N,2018-10-01,Energy,25.10694626051303,25.10694626051303
PSX.N,2019-01-01,Energy,61.895137162081305,61.895137162081305
PSX.N,2019-04-01,Energy,17.85156595268261,17.85156595268261
PSX.N,2019-07-01,Energy,10.318425734147208,10.318425734147208
PSX.N,2019-10-01,Energy,20.081856442333677,20.081856442333677
PSX.N,2020-01-01,Energy,-1.188940860939471,1.188940860939471
PSX.N,2020-04-01,Energy,61.12216851483273,61.12216851483273
PSX.N,2020-07-01,Energy,-20.03198720511796,20.03198720511796
PSX.N,2020-10-01,Energy,-98.74221747059934,98.74221747059934
PSX.N,2021-01-01,Energy,9.73314035436236,9.73314035436236
PSX.N,2021-04-01,Energy,-17.09489061528456,17.09489061528456
PSX.N,2021-07-01,Energy,23.49799732977304,23.49799732977304
PSX.N,2021-10-01,Energy,62.90482874501811,62.90482874501811
PSX.N,2022-01-01,Energy,50.86129484146736,50.86129484146736
PSX.N,2022-04-01,Energy,3.463681896207112,3.463681896207112
PSX.N,2022-07-01,Energy,13.306577137176262,13.306577137176262
PSX.N,2022-10-01,Energy,28.05087147934435,28.05087147934435
DLR.N,2013-01-01,Real Estate,-8.013082583810302,8.013082583810302
DLR.N,2013-04-01,Real Estate,-4.2253521126760445,4.2253521126760445
DLR.N,2013-07-01,Real Estate,-5.063291139240508,5.063291139240508
DLR.N,2013-10-01,Real Estate,-38.01652892561984,38.01652892561984
DLR.N,2014-01-01,Real Estate,39.43465584991762,39.43465584991762
DLR.N,2014-04-01,Real Estate,6.365570283096064,6.365570283096064
DLR.N,2014-07-01,Real Estate,-32.70286544115043,32.70286544115043
DLR.N,2014-10-01,Real Estate,215.9003159003159,215.9003159003159
DLR.N,2015-01-01,Real Estate,-275.7533594522353,275.7533594522353
DLR.N,2015-04-01,Real Estate,177.77777777777777,177.77777777777777
DLR.N,2015-07-01,Real Estate,198.61111111111117,198.61111111111117
DLR.N,2015-10-01,Real Estate,-3.6144578313252858,3.6144578313252858
DLR.N,2016-01-01,Real Estate,-340.86021505376345,340.86021505376345
DLR.N,2016-04-01,Real Estate,24.61346748511562,24.61346748511562
DLR.N,2016-07-01,Real Estate,-24.82095516954853,24.82095516954853
DLR.N,2016-10-01,Real Estate,-60.147454418651,60.147454418651
DLR.N,2017-01-01,Real Estate,58.92063697985924,58.92063697985924
DLR.N,2017-04-01,Real Estate,7.676550148383534,7.676550148383534
DLR.N,2017-07-01,Real Estate,-8.668848466397755,8.668848466397755
DLR.N,2017-10-01,Real Estate,-63.03630363036304,63.03630363036304
DLR.N,2018-01-01,Real Estate,-37.474448692975486,37.474448692975486
DLR.N,2018-04-01,Real Estate,20.53033346725592,20.53033346725592
DLR.N,2018-07-01,Real Estate,13.418870064506985,13.418870064506985
DLR.N,2018-10-01,Real Estate,23.27692480107589,23.27692480107589
