,Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise
977,LYB.N,2022-01-28 06:30:00+00:00,3.63,3.96609,-8.474
978,LYB.N,2021-10-29 07:06:00+00:00,5.25,5.75268,-8.738
979,IBM.N,2023-01-25 16:08:00+00:00,3.6,3.59764,0.066
980,IBM.N,2022-10-19 16:08:00+00:00,1.81,1.77392,2.034
981,IBM.N,2022-07-18 16:08:00+00:00,2.31,2.27269,1.642
982,IBM.N,2022-04-19 16:08:00+00:00,1.4,1.38236,1.276
983,IBM.N,2022-01-24 16:08:00+00:00,3.35,3.2986,1.558
984,IBM.N,2021-10-20 16:08:00+00:00,2.52,2.49933,0.827
985,IQV.N,2023-02-10 07:00:00+00:00,2.78,2.762,0.652
986,IQV.N,2022-10-26 07:00:00+00:00,2.48,2.385,3.983
987,IQV.N,2022-07-21 07:00:00+00:00,2.44,2.38106,2.476
988,IQV.N,2022-04-27 07:00:00+00:00,2.47,2.41924,2.098
989,IQV.N,2022-02-15 07:00:00+00:00,2.55,2.434,4.766
990,IQV.N,2021-10-21 07:01:00+00:00,2.17,2.12317,2.206
991,VRTX.OQ,2023-02-07 16:01:00+00:00,3.76,3.5125,7.046
992,VRTX.OQ,2022-10-27 16:01:00+00:00,4.01,3.644,10.044
993,VRTX.OQ,2022-08-04 16:01:00+00:00,3.6,3.47925,3.471
994,VRTX.OQ,2022-05-05 16:01:00+00:00,3.52,3.49211,0.799
995,VRTX.OQ,2022-01-26 16:01:00+00:00,3.37,3.29956,2.135
996,VRTX.OQ,2021-11-02 16:01:00+00:00,3.56,3.08133,15.535
997,DXCM.OQ,2023-02-09 16:03:00+00:00,0.34,0.27233,24.849
998,DXCM.OQ,2022-10-27 16:03:00+00:00,0.28,0.24177,15.813
999,DXCM.OQ,2022-07-28 16:03:00+00:00,0.17,0.18968,-10.375
1000,DXCM.OQ,2022-04-28 16:03:00+00:00,0.08,0.13031,-38.608
1001,DXCM.OQ,2022-02-10 16:03:00+00:00,0.17,0.21229,-19.922
1002,DXCM.OQ,2021-10-28 16:02:00+00:00,0.2225,0.15948,39.52
1003,PEP.OQ,2023-02-09 06:01:00+00:00,1.67,1.64947,1.245
1004,PEP.OQ,2022-10-12 06:00:00+00:00,1.97,1.84412,6.826
1005,PEP.OQ,2022-07-12 06:01:00+00:00,1.86,1.73647,7.114
1006,PEP.OQ,2022-04-26 06:23:00+00:00,1.29,1.23328,4.599
1007,PEP.OQ,2022-02-10 06:00:00+00:00,1.53,1.51606,0.92
1008,PEP.OQ,2021-10-05 06:00:00+00:00,1.79,1.73339,3.266
1009,AOS.N,2023-01-31 06:55:00+00:00,0.86,0.78867,9.044
1010,AOS.N,2022-10-27 07:00:00+00:00,0.69,0.69215,-0.311
1011,AOS.N,2022-07-28 06:55:00+00:00,0.82,0.80669,1.65
1012,AOS.N,2022-04-28 06:55:00+00:00,0.77,0.74677,3.111
1013,AOS.N,2022-01-27 06:56:00+00:00,0.87,0.76846,13.213
1014,AOS.N,2021-10-28 06:58:00+00:00,0.79,0.67975,16.219
1015,BLK.N,2023-01-13 06:17:00+00:00,8.93,8.11209,10.083
1016,BLK.N,2022-10-13 06:17:00+00:00,9.55,7.0692,35.093
1017,BLK.N,2022-07-15 06:17:00+00:00,7.36,7.8982,-6.814
1018,BLK.N,2022-04-13 06:16:00+00:00,9.52,8.74882,8.815
